
  
   Name                                                                   | Size       | Percent used | Index scans | Seq scans | Unused 
  ------------------------------------------------------------------------|------------|--------------|-------------|-----------|--------
   public.orbit_elements_norad_cat_id_source_epoch_key                    | 46 MB      | 100%         | 6885685     | 0         | false  
   public.orbit_elements_norad_epoch_idx                                  | 35 MB      | 100%         | 4           | 0         | false  
   public.orbit_elements_source_epoch_idx                                 | 34 MB      | 100%         | 25113       | 0         | false  
   public.orbit_elements_pkey                                             | 20 MB      | 100%         | 282         | 0         | false  
   public.ingestion_runs_job_started_idx                                  | 11 MB      | 100%         | 30738       | 0         | false  
   public.ingestion_runs_job_success_ended_idx                            | 7432 kB    | 0%           | 0           | 0         | true   
   public.ingestion_runs_started_at_idx                                   | 5024 kB    | 100%         | 2769        | 0         | false  
   public.ingestion_runs_pkey                                             | 4176 kB    | 100%         | 162577      | 0         | false  
   public.satellites_intl_des_pattern_idx                                 | 3512 kB    | 100%         | 1           | 0         | false  
   public.satellites_pkey                                                 | 2448 kB    | 100%         | 8632662     | 0         | false  
   public.satellite_group_memberships_pkey                                | 2288 kB    | 100%         | 6887271     | 0         | false  
   public.snapi_items_snapi_id_item_type_key                              | 2000 kB    | 0%           | 0           | 0         | true   
   public.snapi_items_pkey                                                | 1936 kB    | 100%         | 854363      | 0         | false  
   public.satellite_group_memberships_group_last_seen_idx                 | 1640 kB    | 0%           | 0           | 0         | true   
   public.satellites_object_type_owner_idx                                | 1560 kB    | 100%         | 31793       | 0         | false  
   public.snapi_items_updated_at_idx                                      | 1432 kB    | 100%         | 2682        | 0         | false  
   public.snapi_items_published_at_idx                                    | 1368 kB    | 100%         | 4391        | 0         | false  
   public.satellite_group_memberships_norad_idx                           | 1192 kB    | 100%         | 1           | 0         | false  
   public.snapi_item_launches_pkey                                        | 1056 kB    | 100%         | 12561       | 0         | false  
   public.launches_public_cache_pad_country_net_provider_idx              | 936 kB     | 100%         | 16856       | 0         | false  
   public.navcen_bnm_messages_navcen_guid_sha256_key                      | 576 kB     | 100%         | 59458       | 0         | false  
   public.launches_public_cache_pkey                                      | 568 kB     | 100%         | 231262      | 0         | false  
   public.launches_public_cache_ll2_launch_uuid_idx                       | 536 kB     | 100%         | 19          | 0         | false  
   public.trajectory_source_documents_url_sha256_key                      | 424 kB     | 100%         | 12552       | 0         | false  
   public.launches_launch_designator_idx                                  | 408 kB     | 100%         | 2           | 0         | false  
   public.launches_public_cache_rocket_full_name_trgm_idx                 | 408 kB     | 100%         | 24          | 0         | false  
   public.launches_public_cache_vehicle_trgm_idx                          | 408 kB     | 100%         | 24          | 0         | false  
   public.launches_public_cache_net_idx                                   | 392 kB     | 100%         | 456687      | 0         | false  
   public.trajectory_source_contracts_launch_eval_idx                     | 368 kB     | 100%         | 1           | 0         | false  
   public.celestrak_intdes_datasets_pkey                                  | 368 kB     | 100%         | 29307       | 0         | false  
   public.launches_net_idx                                                | 344 kB     | 100%         | 118631      | 0         | false  
   public.launches_ll2_launch_uuid_key                                    | 336 kB     | 100%         | 56487       | 0         | false  
   public.launches_pkey                                                   | 328 kB     | 100%         | 201858      | 0         | false  
   public.navcen_bnm_hazard_areas_message_id_area_name_key                | 304 kB     | 100%         | 108467      | 0         | false  
   public.ll2_catalog_public_cache_pkey                                   | 304 kB     | 100%         | 2440098     | 0         | false  
   public.launches_last_updated_idx                                       | 288 kB     | 100%         | 1           | 0         | false  
   public.ll2_catalog_public_cache_name_idx                               | 288 kB     | 100%         | 1265        | 0         | false  
   public.navcen_bnm_hazard_areas_valid_window_gist                       | 280 kB     | 0%           | 0           | 0         | true   
   public.navcen_bnm_hazard_areas_fetched_at_idx                          | 232 kB     | 100%         | 3           | 0         | false  
   public.launches_public_cache_ll2_agency_id_idx                         | 232 kB     | 100%         | 12044       | 0         | false  
   public.trajectory_product_lineage_launch_id_product_version_genera_key | 208 kB     | 100%         | 1626        | 0         | false  
   public.snapi_item_launches_launch_id_idx                               | 200 kB     | 100%         | 438828      | 0         | false  
   public.navcen_bnm_hazard_areas_pkey                                    | 192 kB     | 0%           | 0           | 0         | true   
   public.launches_public_cache_ll2_pad_id_idx                            | 192 kB     | 100%         | 23623       | 0         | false  
   public.launches_public_cache_ll2_rocket_config_id_idx                  | 192 kB     | 100%         | 14628       | 0         | false  
   public.navcen_bnm_hazard_areas_message_id_idx                          | 192 kB     | 0%           | 0           | 0         | true   
   public.navcen_bnm_messages_pkey                                        | 184 kB     | 100%         | 4796        | 0         | false  
   public.navcen_bnm_messages_valid_window_gist                           | 184 kB     | 0%           | 0           | 0         | true   
   public.navcen_bnm_messages_fetched_at_idx                              | 176 kB     | 100%         | 10788       | 0         | false  
   public.launch_trajectory_constraints_launch_id_source_constraint_t_key | 168 kB     | 100%         | 36908       | 0         | false  
   public.launches_provider_idx                                           | 168 kB     | 0%           | 0           | 0         | true   
   public.launches_pad_idx                                                | 160 kB     | 100%         | 8           | 0         | false  
   public.ll2_catalog_public_cache_type_idx                               | 144 kB     | 100%         | 35326       | 0         | false  
   public.snapi_item_events_pkey                                          | 144 kB     | 100%         | 3149        | 0         | false  
   public.ll2_catalog_public_cache_country_codes_gin                      | 144 kB     | 100%         | 7285        | 0         | false  
   public.trajectory_source_contracts_pkey                                | 136 kB     | 0%           | 0           | 0         | true   
   public.launches_pad_short_code_idx                                     | 136 kB     | 0%           | 0           | 0         | true   
   public.launches_updated_at_idx                                         | 136 kB     | 100%         | 5355        | 0         | false  
