
  
   Name                                        | Table size | Index size | Total size | Estimated row count | Seq scans 
  ---------------------------------------------|------------|------------|------------|---------------------|-----------
   public.orbit_elements                       | 655 MB     | 135 MB     | 790 MB     | 925865              | 29        
   public.ingestion_runs                       | 69 MB      | 27 MB      | 96 MB      | 150923              | 6507      
   public.satellites                           | 48 MB      | 7544 kB    | 56 MB      | 68185               | 29        
   public.launches_public_cache                | 45 MB      | 4240 kB    | 49 MB      | 7802                | 174553    
   public.navcen_bnm_messages                  | 43 MB      | 1176 kB    | 44 MB      | 3992                | 133       
   public.launches                             | 34 MB      | 2496 kB    | 37 MB      | 7811                | 961       
   public.snapi_items                          | 26 MB      | 6784 kB    | 32 MB      | 35859               | 376       
   public.trajectory_source_documents          | 14 MB      | 680 kB     | 15 MB      | 2364                | 24        
   public.ll2_catalog_public_cache             | 12 MB      | 904 kB     | 13 MB      | 3957                | 24        
   public.ll2_spacecraft_flights               | 10 MB      | 232 kB     | 10 MB      | 892                 | 30        
   public.satellite_group_memberships          | 3584 kB    | 5144 kB    | 8728 kB    | 31829               | 24        
   public.navcen_bnm_hazard_areas              | 6880 kB    | 1352 kB    | 8232 kB    | 4794                | 36        
   public.trajectory_source_contracts          | 6832 kB    | 688 kB     | 7520 kB    | 5310                | 4         
   public.ll2_events                           | 5248 kB    | 200 kB     | 5448 kB    | 1082                | 24        
   public.ll2_rocket_configs                   | 4536 kB    | 56 kB      | 4592 kB    | 529                 | 204       
   public.ll2_astronauts                       | 4056 kB    | 192 kB     | 4248 kB    | 853                 | 24        
   public.launch_updates                       | 3896 kB    | 328 kB     | 4224 kB    | 2456                | 135       
   public.ll2_docking_events                   | 2928 kB    | 72 kB      | 3000 kB    | 427                 | 24        
   public.ll2_spacecrafts                      | 2800 kB    | 96 kB      | 2896 kB    | 596                 | 12        
   public.ll2_spacecraft_flight_docking_events | 2496 kB    | 80 kB      | 2576 kB    | 561                 | 4         
   public.ll2_landings                         | 2472 kB    | 40 kB      | 2512 kB    | 903                 | 9         
   public.ll2_pads                             | 2272 kB    | 56 kB      | 2328 kB    | 244                 | 25        
   public.ll2_agencies                         | 2264 kB    | 40 kB      | 2304 kB    | 348                 | 24        
   public.snapi_item_launches                  | 872 kB     | 1256 kB    | 2128 kB    | 12227               | 26        
   public.artemis_source_documents             | 1568 kB    | 152 kB     | 1720 kB    | 708                 | 7         
   public.ll2_launchers                        | 1608 kB    | 96 kB      | 1704 kB    | 183                 | 24        
   public.launch_trajectory_constraints        | 1312 kB    | 248 kB     | 1560 kB    | 650                 | 33        
   public.celestrak_intdes_datasets            | 720 kB     | 680 kB     | 1400 kB    | 6762                | 1122      
   public.trajectory_product_lineage           | 864 kB     | 528 kB     | 1392 kB    | 1626                | 6         
   public.faa_notam_details                    | 1264 kB    | 80 kB      | 1344 kB    | 117                 | 157       
   public.ll2_locations                        | 1088 kB    | 16 kB      | 1104 kB    | 67                  | 24        
   public.ll2_expeditions                      | 888 kB     | 32 kB      | 920 kB     | 163                 | 24        
   public.launch_trajectory_products           | 856 kB     | 64 kB      | 920 kB     | 28                  | 3861      
   public.faa_launch_matches                   | 456 kB     | 160 kB     | 616 kB     | 220                 | 158       
