Initialising login role...
Connecting to remote database...

  
   Query                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Total Execution Time | Proportion of total exec time | Number Calls | Sync IO time 
  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------|-------------------------------|--------------|--------------
   select set_config('search_path', $1, true), set_config('role', $2, true), set_config('request.jwt.claims', $3, true), set_config('request.method', $4, true), set_config('request.path', $5, true), set_config('request.headers', $6, true), set_config('request.cookies', $7, true)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 00:00:00.096898      | 0.0%                          | 2,207        | 00:00:00     
   select set_config('search_path', $1, true), set_config($2, $3, true), set_config('role', $4, true), set_config('request.jwt.claims', $5, true), set_config('request.method', $6, true), set_config('request.path', $7, true), set_config('request.headers', $8, true), set_config('request.cookies', $9, true)                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 00:00:00.039448      | 0.0%                          | 971          | 00:00:00     
   WITH rows AS ( SELECT id FROM net.http_request_queue ORDER BY id LIMIT $1 ) DELETE FROM net.http_request_queue q USING rows WHERE q.id = rows.id RETURNING q.id, q.method, q.url, timeout_milliseconds, array(select key || $2 || value from jsonb_each_text(q.headers)), q.body                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 00:00:56.021181      | 1.4%                          | 559          | 00:00:00     
   WITH rows AS ( SELECT ctid FROM net._http_response WHERE created < now() - $1 ORDER BY created LIMIT $2 ) DELETE FROM net._http_response r USING rows WHERE r.ctid = rows.ctid                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 00:00:21.286331      | 0.5%                          | 559          | 00:00:00     
   WITH pgrst_source AS ( SELECT "public"."system_settings"."key", "public"."system_settings"."value" FROM "public"."system_settings" WHERE "public"."system_settings"."key" = ANY ($1) LIMIT $2 OFFSET $3 ) SELECT $4::bigint AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, coalesce(json_agg(_postgrest_t), $5) AS body, nullif(current_setting($6, $7), $8) AS response_headers, nullif(current_setting($9, $10), $11) AS response_status, $12 AS response_inserted FROM ( SELECT * FROM pgrst_source ) _postgrest_t                                                                                                                                                                                                                                      | 00:00:00.045158      | 0.0%                          | 523          | 00:00:00     
   update cron.job_run_details set status = $1 where runid = $2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 00:01:17.435102      | 1.9%                          | 520          | 00:00:00     
   insert into cron.job_run_details (jobid, runid, database, username, command, status) values ($1,$2,$3,$4,$5,$6)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 00:07:59.281231      | 11.9%                         | 520          | 00:00:00     
   WITH pgrst_source AS (UPDATE "public"."ops_alerts" SET "resolved" = "pgrst_body"."resolved", "resolved_at" = "pgrst_body"."resolved_at" FROM (SELECT $1 AS json_data) pgrst_payload, LATERAL (SELECT "resolved", "resolved_at" FROM json_to_record(pgrst_payload.json_data) AS _("resolved" boolean, "resolved_at" timestamp with time zone) ) pgrst_body WHERE "public"."ops_alerts"."key" = $2 AND "public"."ops_alerts"."resolved" = $3 RETURNING $4) SELECT $5 AS total_result_set, pg_catalog.count(_postgrest_t) AS page_total, array[]::text[] AS header, $6::text AS body, nullif(current_setting($7, $8), $9) AS response_headers, nullif(current_setting($10, $11), $12) AS response_status, $13 AS response_inserted FROM (SELECT * FROM pgrst_source) _postgrest_t | 00:00:00.017934      | 0.0%                          | 500          | 00:00:00     
   SET client_min_messages TO WARNING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 00:00:00.001467      | 0.0%                          | 496          | 00:00:00     
   SET client_encoding = 'UTF8'                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 00:00:00.005532      | 0.0%                          | 496          | 00:00:00     

