Initialising login role...
Connecting to remote database...

  
   Name                                                                   | Size       | Percent used | Index scans | Seq scans | Unused 
  ------------------------------------------------------------------------|------------|--------------|-------------|-----------|--------
   public.orbit_elements_norad_cat_id_source_epoch_key                    | 67 MB      | 0%           | 0           | 0         | true   
   public.orbit_elements_norad_epoch_idx                                  | 52 MB      | 0%           | 0           | 0         | true   
   public.orbit_elements_source_epoch_idx                                 | 48 MB      | 100%         | 14          | 0         | false  
   public.orbit_elements_pkey                                             | 28 MB      | 0%           | 0           | 0         | true   
   public.ingestion_runs_job_started_idx                                  | 17 MB      | 100%         | 33          | 0         | false  
   public.ingestion_runs_job_success_ended_idx                            | 13 MB      | 0%           | 0           | 0         | true   
   public.ingestion_runs_started_at_idx                                   | 8768 kB    | 0%           | 0           | 0         | true   
   public.ingestion_runs_pkey                                             | 6568 kB    | 100%         | 64          | 0         | false  
   public.satellites_intl_des_pattern_idx                                 | 3528 kB    | 0%           | 0           | 0         | true   
   public.satellites_pkey                                                 | 2456 kB    | 0%           | 0           | 0         | true   
   public.satellite_group_memberships_pkey                                | 2344 kB    | 0%           | 0           | 0         | true   
   public.satellite_group_memberships_group_last_seen_idx                 | 2184 kB    | 0%           | 0           | 0         | true   
   public.snapi_items_snapi_id_item_type_key                              | 2008 kB    | 0%           | 0           | 0         | true   
   public.trajectory_source_documents_url_sha256_key                      | 1992 kB    | 100%         | 1           | 0         | false  
   public.snapi_items_pkey                                                | 1952 kB    | 100%         | 1001        | 0         | false  
   public.trajectory_product_lineage_launch_id_product_version_genera_key | 1912 kB    | 100%         | 4           | 0         | false  
   public.satellites_object_type_owner_idx                                | 1560 kB    | 100%         | 22          | 0         | false  
   public.snapi_items_updated_at_idx                                      | 1448 kB    | 100%         | 3           | 0         | false  
   public.snapi_items_published_at_idx                                    | 1384 kB    | 100%         | 2           | 0         | false  
   public.navcen_bnm_messages_navcen_guid_sha256_key                      | 1208 kB    | 100%         | 18          | 0         | false  
   public.satellite_group_memberships_norad_idx                           | 1208 kB    | 0%           | 0           | 0         | true   
   public.trajectory_source_contracts_launch_eval_idx                     | 1208 kB    | 0%           | 0           | 0         | true   
   public.snapi_item_launches_pkey                                        | 1072 kB    | 100%         | 7           | 0         | false  
   public.launches_public_cache_rocket_full_name_trgm_idx                 | 968 kB     | 0%           | 0           | 0         | true   
   public.launches_public_cache_vehicle_trgm_idx                          | 968 kB     | 0%           | 0           | 0         | true   
   public.launches_public_cache_pad_country_net_provider_idx              | 944 kB     | 100%         | 26          | 0         | false  
   public.trajectory_product_lineage_launch_generated_idx                 | 856 kB     | 0%           | 0           | 0         | true   
   public.navcen_bnm_hazard_areas_valid_window_gist                       | 656 kB     | 0%           | 0           | 0         | true   
   public.trajectory_product_lineage_pkey                                 | 600 kB     | 0%           | 0           | 0         | true   
   public.navcen_bnm_hazard_areas_message_id_area_name_key                | 568 kB     | 100%         | 19          | 0         | false  
   public.launches_public_cache_pkey                                      | 568 kB     | 100%         | 83          | 0         | false  
   public.launches_public_cache_ll2_launch_uuid_idx                       | 536 kB     | 0%           | 0           | 0         | true   
   public.trajectory_source_documents_pkey                                | 520 kB     | 100%         | 1           | 0         | false  
   public.navcen_bnm_hazard_areas_fetched_at_idx                          | 512 kB     | 0%           | 0           | 0         | true   
   public.navcen_bnm_hazard_areas_pkey                                    | 456 kB     | 0%           | 0           | 0         | true   
   public.trajectory_source_documents_fetched_at_idx                      | 448 kB     | 0%           | 0           | 0         | true   
   public.launches_launch_designator_idx                                  | 408 kB     | 0%           | 0           | 0         | true   
   public.trajectory_source_contracts_pkey                                | 400 kB     | 0%           | 0           | 0         | true   
   public.navcen_bnm_hazard_areas_message_id_idx                          | 400 kB     | 0%           | 0           | 0         | true   
   public.launches_public_cache_net_idx                                   | 392 kB     | 100%         | 342         | 0         | false  
   public.celestrak_intdes_datasets_pkey                                  | 368 kB     | 0%           | 0           | 0         | true   
   public.navcen_bnm_messages_valid_window_gist                           | 360 kB     | 0%           | 0           | 0         | true   
   public.navcen_bnm_messages_fetched_at_idx                              | 352 kB     | 100%         | 1           | 0         | false  
   public.navcen_bnm_messages_pkey                                        | 344 kB     | 100%         | 19          | 0         | false  
   public.launches_net_idx                                                | 344 kB     | 100%         | 21          | 0         | false  
   public.launches_ll2_launch_uuid_key                                    | 336 kB     | 100%         | 56          | 0         | false  
   public.launch_trajectory_constraints_launch_id_source_constraint_t_key | 328 kB     | 100%         | 98          | 0         | false  
   public.launches_pkey                                                   | 328 kB     | 100%         | 47          | 0         | false  
   public.trajectory_source_contracts_ingestion_run_id_idx                | 304 kB     | 0%           | 0           | 0         | true   
   public.ll2_catalog_public_cache_pkey                                   | 304 kB     | 100%         | 1380        | 0         | false  
   public.launches_last_updated_idx                                       | 288 kB     | 0%           | 0           | 0         | true   
   public.ll2_catalog_public_cache_name_idx                               | 288 kB     | 0%           | 0           | 0         | true   
   public.artemis_contract_budget_map_contract_id_budget_line_id_matc_key | 280 kB     | 0%           | 0           | 0         | true   
   public.artemis_contract_budget_map_budget_line_idx                     | 264 kB     | 0%           | 0           | 0         | true   
   public.artemis_opportunity_notices_notice_id_key                       | 264 kB     | 0%           | 0           | 0         | true   
   public.artemis_contract_actions_action_key_key                         | 256 kB     | 0%           | 0           | 0         | true   
   public.launches_public_cache_ll2_agency_id_idx                         | 232 kB     | 0%           | 0           | 0         | true   
   public.trajectory_product_lineage_ingestion_run_id_idx                 | 232 kB     | 0%           | 0           | 0         | true   
   public.artemis_opportunity_notices_solicitation_idx                    | 208 kB     | 0%           | 0           | 0         | true   
   public.snapi_item_launches_launch_id_idx                               | 208 kB     | 100%         | 113         | 0         | false  
   public.trajectory_source_contracts_status_idx                          | 200 kB     | 0%           | 0           | 0         | true   
   public.artemis_content_items_fingerprint_key                           | 200 kB     | 0%           | 0           | 0         | true   
   public.launches_public_cache_ll2_pad_id_idx                            | 192 kB     | 100%         | 14          | 0         | false  
   public.launches_public_cache_ll2_rocket_config_id_idx                  | 192 kB     | 100%         | 14          | 0         | false  
   public.blue_origin_traveler_sources_source_key_key                     | 184 kB     | 0%           | 0           | 0         | true   
   public.artemis_contract_budget_map_pkey                                | 176 kB     | 0%           | 0           | 0         | true   
   public.blue_origin_source_documents_pkey                               | 168 kB     | 0%           | 0           | 0         | true   
   public.trajectory_product_lineage_constraint_idx                       | 168 kB     | 0%           | 0           | 0         | true   
   public.launches_provider_idx                                           | 168 kB     | 0%           | 0           | 0         | true   
   public.trajectory_source_documents_url_idx                             | 168 kB     | 100%         | 18          | 0         | false  
   public.artemis_opportunity_notices_pkey                                | 168 kB     | 0%           | 0           | 0         | true   
   public.launches_pad_idx                                                | 160 kB     | 0%           | 0           | 0         | true   
   public.blue_origin_source_documents_fetched_at_idx                     | 160 kB     | 0%           | 0           | 0         | true   
   public.snapi_item_events_pkey                                          | 152 kB     | 100%         | 3           | 0         | false  
   public.launch_updates_launch_id_detected_at_idx                        | 144 kB     | 0%           | 0           | 0         | true   
   public.ll2_catalog_public_cache_type_idx                               | 144 kB     | 100%         | 21          | 0         | false  
   public.ll2_catalog_public_cache_country_codes_gin                      | 144 kB     | 100%         | 8           | 0         | false  
   public.trajectory_product_lineage_doc_idx                              | 144 kB     | 0%           | 0           | 0         | true   
   public.launches_public_cache_vehicle_idx                               | 136 kB     | 100%         | 64          | 0         | false  
   public.launches_updated_at_idx                                         | 136 kB     | 100%         | 6           | 0         | false  
   public.navcen_bnm_hazard_areas_matched_launch_id_idx                   | 136 kB     | 0%           | 0           | 0         | true   
   public.api_rate_counters_pkey                                          | 136 kB     | 100%         | 264         | 0         | false  
   public.celestrak_intdes_datasets_due_idx                               | 136 kB     | 0%           | 0           | 0         | true   
   public.launches_public_cache_rocket_full_name_idx                      | 136 kB     | 100%         | 64          | 0         | false  
   public.launches_pad_short_code_idx                                     | 136 kB     | 0%           | 0           | 0         | true   
