type,name,bloat,waste
table,public.orbit_elements,1.1,57 MB
table,public.ingestion_runs,1.2,20 MB
table,public.launches_public_cache,2.2,16 MB
table,public.satellites,1.3,10 MB
table,public.snapi_items,1.3,6664 kB
table,public.launches,1.4,5880 kB
table,public.artemis_opportunity_notices,1.8,4256 kB
table,public.ll2_catalog_public_cache,1.8,4168 kB
table,public.trajectory_source_contracts,1.1,2496 kB
table,public.ll2_agencies,5.2,1656 kB
table,public.ll2_astronauts,2.4,1640 kB
table,public.satellite_group_memberships,1.9,1632 kB
table,public.navcen_bnm_hazard_areas,1.2,1608 kB
table,public.artemis_procurement_awards,2.3,1560 kB
table,public.artemis_contract_actions,1.6,1520 kB
table,public.navcen_bnm_messages,1.1,1464 kB
table,public.artemis_contracts,2.1,1288 kB
table,public.ll2_launchers,5.3,1272 kB
index,public.satellite_group_memberships::satellite_group_memberships_pkey,1.7,944 kB
table,public.ll2_events,1.5,864 kB
index,public.satellite_group_memberships::satellite_group_memberships_group_last_seen_idx,1.6,784 kB
table,public.ll2_pads,5.9,752 kB
table,public.artemis_contract_budget_map,2.1,680 kB
table,public.blue_origin_passengers,5.1,616 kB
table,public.ll2_locations,8.4,592 kB
index,public.snapi_item_launches::snapi_item_launches_pkey,2.1,560 kB
table,public.ll2_rocket_configs,3.2,528 kB
table,public.blue_origin_traveler_sources,1.6,528 kB
table,public.ll2_docking_events,2.1,432 kB
table,public.ll2_expeditions,2.8,368 kB
table,public.artemis_source_documents,1.1,312 kB
table,public.ll2_spacecraft_configurations,5.1,296 kB
table,public.faa_launch_matches,1.5,240 kB
table,public.launch_trajectory_constraints,1.1,232 kB
table,public.faa_tfr_shapes,1.6,224 kB
table,public.blue_origin_timeline_events,1.3,200 kB
table,public.artemis_content_items,1.2,200 kB
table,public.blue_origin_contracts,2.0,192 kB
table,public.blue_origin_travelers,1.9,192 kB
table,public.artemis_spending_timeseries,2.0,184 kB
table,public.artemis_budget_lines,2.0,176 kB
table,public.trajectory_source_documents,1.0,152 kB
table,public.blue_origin_source_documents,1.1,136 kB
table,public.trajectory_product_lineage,1.0,128 kB
table,public.snapi_item_launches,1.1,104 kB
table,public.launch_social_candidates,1.2,96 kB
table,public.faa_tfr_records,1.3,88 kB
table,public.blue_origin_contract_actions,2.0,72 kB
table,public.ll2_spacecrafts,1.2,72 kB
table,public.ll2_space_stations,3.7,64 kB
table,public.artemis_timeline_events,2.1,64 kB
index,public.snapi_item_events::snapi_item_events_pkey,1.7,64 kB
table,public.launch_updates,1.0,64 kB
table,public.ll2_spacecraft_flight_docking_events,1.1,48 kB
table,public.blue_origin_spending_timeseries,1.8,40 kB
index,public.api_rate_counters::api_rate_counters_pkey,1.4,40 kB
table,public.social_posts,1.2,40 kB
table,public.faa_notam_details,1.2,40 kB
table,public.ll2_spacecraft_flights,1.1,40 kB
table,public.artemis_mission_snapshots,3.0,32 kB
table,public.ops_alerts,2.0,32 kB
table,public.snapi_item_events,1.3,32 kB
table,public.ll2_landings,1.0,32 kB
table,public.blue_origin_contract_vehicle_map,2.5,24 kB
table,public.artemis_ingest_checkpoints,2.5,24 kB
index,public.system_settings::system_settings_pkey,2.0,24 kB
table,public.nws_points,2.0,16 kB
index,public.ll2_astronaut_launches::ll2_astronaut_launches_pkey,2.0,16 kB
table,public.celestrak_datasets,1.7,16 kB
table,public.blue_origin_flights,1.7,16 kB
table,public.launch_trajectory_products,1.7,16 kB
index,public.ll2_launcher_launches::ll2_launcher_launches_launch_idx,1.4,16 kB
index,public.ll2_launcher_launches::ll2_launcher_launches_ll2_idx,1.4,16 kB
table,public.api_rate_counters,1.1,16 kB
index,public.orbit_elements::orbit_elements_supgp_group_or_source_trgm_idx,0.0,16 kB
index,public.launches_public_cache::launches_public_cache_rocket_family_trgm_idx,0.0,16 kB
index,public.blue_origin_ingest_checkpoints::blue_origin_ingest_checkpoints_updated_at_idx,2.0,8192 bytes
table,public.blue_origin_mission_snapshots,2.0,8192 bytes
index,public.blue_origin_mission_snapshots::blue_origin_mission_snapshots_pkey,2.0,8192 bytes
index,public.social_accounts::social_accounts_platform_provider_active_idx,2.0,8192 bytes
index,public.ll2_spacecraft_types::ll2_spacecraft_types_name_idx,2.0,8192 bytes
index,public.ll2_spacecraft_types::ll2_spacecraft_types_pkey,2.0,8192 bytes
index,public.artemis_ingest_checkpoints::artemis_ingest_checkpoints_pkey,2.0,8192 bytes
index,public.artemis_mission_snapshots::artemis_mission_snapshots_pkey,2.0,8192 bytes
index,public.social_accounts::social_accounts_pkey,2.0,8192 bytes
index,public.blue_origin_ingest_checkpoints::blue_origin_ingest_checkpoints_pkey,2.0,8192 bytes
index,public.blue_origin_ingest_checkpoints::blue_origin_ingest_checkpoints_status_idx,2.0,8192 bytes
index,public.stripe_customers::stripe_customers_stripe_customer_id_key,2.0,8192 bytes
index,public.subscriptions::subscriptions_pkey,2.0,8192 bytes
index,public.subscriptions::subscriptions_status_idx,2.0,8192 bytes
index,public.subscriptions::subscriptions_stripe_subscription_id_key,2.0,8192 bytes
index,public.ll2_event_launches::ll2_event_launches_launch_id_idx,2.0,8192 bytes
index,public.ll2_event_launches::ll2_event_launches_pkey,2.0,8192 bytes
index,public.job_locks::job_locks_pkey,2.0,8192 bytes
table,public.job_locks,2.0,8192 bytes
index,public.social_accounts::social_accounts_platform_provider_handle_uidx,2.0,8192 bytes
index,public.stripe_customers::stripe_customers_last_subscription_sync_at_idx,2.0,8192 bytes
index,public.stripe_customers::stripe_customers_pkey,2.0,8192 bytes
table,public.ll2_spacecraft_configs,1.3,8192 bytes
table,public.launch_weather,1.2,8192 bytes
index,public.artemis_sam_contract_award_rows::artemis_sam_contract_award_rows_row_key_key,1.2,8192 bytes
index,public.blue_origin_spending_timeseries::blue_origin_spending_timeseri_contract_id_fiscal_year_fisca_key,1.2,8192 bytes
table,public.system_settings,1.2,8192 bytes
index,public.ll2_launcher_launches::ll2_launcher_launches_pkey,1.2,8192 bytes
table,public.artemis_sam_contract_award_rows,1.2,8192 bytes
index,public.launches_public_cache::launches_public_cache_filter_state_idx,0.0,8192 bytes
index,public.ll2_spacecraft_configs::ll2_spacecraft_configs_type_idx,1.0,0 bytes
index,public.blue_origin_contract_vehicle_map::blue_origin_contract_vehicle__contract_id_vehicle_slug_engi_key,1.0,0 bytes
index,public.blue_origin_contract_vehicle_map::blue_origin_contract_vehicle_contract_idx,1.0,0 bytes
index,public.blue_origin_contract_vehicle_map::blue_origin_contract_vehicle_map_engine_slug_idx,1.0,0 bytes
index,public.blue_origin_contract_vehicle_map::blue_origin_contract_vehicle_map_pkey,1.0,0 bytes
index,public.blue_origin_contract_vehicle_map::blue_origin_contract_vehicle_map_vehicle_slug_idx,1.0,0 bytes
index,public.ar_camera_guide_sessions::ar_camera_guide_sessions_created_at_idx,1.0,0 bytes
index,public.ar_camera_guide_sessions::ar_camera_guide_sessions_launch_created_at_idx,1.0,0 bytes
index,public.ar_camera_guide_sessions::ar_camera_guide_sessions_launch_id_idx,1.0,0 bytes
index,public.ar_camera_guide_sessions::ar_camera_guide_sessions_pkey,1.0,0 bytes
index,public.blue_origin_spending_timeseries::blue_origin_spending_contract_idx,1.0,0 bytes
index,public.blue_origin_spending_timeseries::blue_origin_spending_timeseries_pkey,1.0,0 bytes
table,public.ll2_event_launches,1.0,0 bytes
index,public.celestrak_datasets::celestrak_datasets_dataset_type_code_key,1.0,0 bytes
index,public.celestrak_datasets::celestrak_datasets_due_idx,1.0,0 bytes
index,public.celestrak_datasets::celestrak_datasets_pkey,1.0,0 bytes
index,public.celestrak_datasets::celestrak_datasets_success_idx,1.0,0 bytes
table,public.ll2_launcher_launches,1.0,0 bytes
table,public.blue_origin_ingest_checkpoints,1.0,0 bytes
table,public.ll2_spacecraft_types,1.0,0 bytes
table,public.subscriptions,1.0,0 bytes
table,public.stripe_customers,1.0,0 bytes
table,public.providers_public_cache,1.0,0 bytes
table,public.social_accounts,1.0,0 bytes
table,public.ar_camera_guide_sessions,1.0,0 bytes
index,public.social_posts::social_posts_no_launch_day_uidx,1.0,0 bytes
index,public.ll2_spacecraft_configs::ll2_spacecraft_configs_agency_idx,1.0,0 bytes
index,public.ll2_spacecraft_configs::ll2_spacecraft_configs_pkey,1.0,0 bytes
index,public.nws_points::nws_points_pkey,1.0,0 bytes
index,public.ll2_astronaut_launches::ll2_astronaut_launches_launch_idx,1.0,0 bytes
index,public.ll2_astronaut_launches::ll2_astronaut_launches_ll2_idx,1.0,0 bytes
index,public.nws_points::nws_points_coord_key_key,1.0,0 bytes
index,public.nws_points::nws_points_ll2_pad_id_uidx,1.0,0 bytes
index,public.nws_points::nws_points_grid_idx,1.0,0 bytes
index,public.nws_points::nws_points_fetched_at_idx,1.0,0 bytes
index,public.satellite_group_memberships::satellite_group_memberships_norad_idx,0.9,0 bytes
table,public.celestrak_intdes_datasets,0.9,0 bytes
index,public.blue_origin_contract_actions::blue_origin_contract_actions_action_key_key,0.8,0 bytes
index,public.celestrak_intdes_datasets::celestrak_intdes_datasets_pkey,0.8,0 bytes
index,public.blue_origin_passengers::blue_origin_passengers_launch_name_key,0.8,0 bytes
index,public.ll2_space_stations::ll2_space_stations_pkey,0.7,0 bytes
index,public.social_posts::social_posts_mission_brief_uidx,0.7,0 bytes
table,public.ll2_astronaut_launches,0.7,0 bytes
index,public.blue_origin_flights::blue_origin_flights_mission_date_idx,0.7,0 bytes
index,public.ll2_space_stations::ll2_space_stations_name_idx,0.7,0 bytes
index,public.artemis_timeline_events::artemis_timeline_events_fingerprint_key,0.7,0 bytes
index,public.launch_trajectory_products::launch_trajectory_products_generated_idx,0.7,0 bytes
index,public.launch_trajectory_products::launch_trajectory_products_ingestion_run_id_idx,0.7,0 bytes
index,public.launch_trajectory_products::launch_trajectory_products_pkey,0.7,0 bytes
index,public.launch_trajectory_products::launch_trajectory_products_quality_idx,0.7,0 bytes
index,public.system_settings::system_settings_updated_by_idx,0.7,0 bytes
index,public.blue_origin_flights::blue_origin_flights_flight_code_key,0.7,0 bytes
index,public.blue_origin_flights::blue_origin_flights_pkey,0.7,0 bytes
index,public.blue_origin_contract_actions::blue_origin_contract_actions_pkey,0.6,0 bytes
index,public.blue_origin_contract_actions::blue_origin_contract_actions_contract_idx,0.6,0 bytes
index,public.artemis_spending_timeseries::artemis_spending_timeseries_contract_id_fiscal_year_fiscal__key,0.6,0 bytes
index,public.artemis_spending_timeseries::artemis_spending_timeseries_contract_idx,0.6,0 bytes
index,public.blue_origin_contract_actions::blue_origin_contract_actions_source_document_id_idx,0.6,0 bytes
index,public.social_posts::social_posts_mission_drop_uidx,0.5,0 bytes
index,public.ops_alerts::ops_alerts_key_key,0.5,0 bytes
index,public.ops_alerts::ops_alerts_pkey,0.5,0 bytes
index,public.ops_alerts::ops_alerts_resolved_idx,0.5,0 bytes
index,public.artemis_contract_budget_map::artemis_contract_budget_map_contract_id_budget_line_id_matc_key,0.5,0 bytes
index,public.artemis_sam_contract_award_rows::artemis_sam_contract_award_rows_source_document_idx,0.4,0 bytes
index,public.artemis_spending_timeseries::artemis_spending_timeseries_pkey,0.4,0 bytes
index,public.launch_weather::launch_weather_issued_at_idx,0.4,0 bytes
index,public.launch_weather::launch_weather_launch_id_idx,0.4,0 bytes
index,public.launch_weather::launch_weather_launch_id_source_uidx,0.4,0 bytes
index,public.launch_weather::launch_weather_pkey,0.4,0 bytes
index,public.launch_weather::launch_weather_valid_start_idx,0.4,0 bytes
index,public.social_posts::social_posts_launch_root_uidx,0.4,0 bytes
index,public.blue_origin_passengers::blue_origin_passengers_pkey,0.4,0 bytes
index,public.snapi_item_launches::snapi_item_launches_launch_id_idx,0.4,0 bytes
index,public.artemis_sam_contract_award_rows::artemis_sam_contract_award_rows_pkey,0.4,0 bytes
index,public.artemis_sam_contract_award_rows::artemis_sam_contract_award_rows_piid_idx,0.4,0 bytes
index,public.artemis_sam_contract_award_rows::artemis_sam_contract_award_rows_contract_idx,0.4,0 bytes
