schemaname,table_name,blocks_read,write_tuples,blocks_write,activity_ratio
cron,job_run_details,58558,1510,34.356898255843,1:1704.4 (Read-Heavy)
public,launches_public_cache,7292,14,6.57621912197619,1:1108.8 (Read-Heavy)
public,ingestion_runs,4297,89,7.33234445954457,1:586.0 (Read-Heavy)
public,snapi_items,3462,5,0.451102880203439,1:7674.5 (Read-Heavy)
public,launches,2486,3,0.926916677332651,1:2682.0 (Read-Heavy)
net,_http_response,1,195,1200.89196550159,1200.9:1 (Write-Heavy)
public,ll2_astronauts,383,300,124.853458382181,0.3:1 (Write-Heavy)
public,ll2_launchers,207,183,196,0.9:1 (Write-Heavy)
public,ll2_locations,90,161,201.850746268657,2.2:1 (Write-Heavy)
public,ll2_pads,124,244,113,0.9:1 (Write-Heavy)
public,ll2_rocket_configs,107,500,90.7372400756144,0.8:1 (Write-Heavy)
public,faa_launch_matches,126,322,61.0909090909091,0.5:1 (Write-Heavy)
public,launch_trajectory_constraints,117,10,2.05536332179931,1:56.9 (Read-Heavy)
public,faa_tfr_shapes,92,55,16.28,1:5.7 (Read-Heavy)
public,navcen_bnm_messages,98,18,4.23834586466165,1:23.1 (Read-Heavy)
public,faa_tfr_records,81,160,14.7692307692308,1:5.5 (Read-Heavy)
public,navcen_bnm_hazard_areas,87,19,2.95881099726083,1:29.4 (Read-Heavy)
public,job_locks,8,116,77.3333333333333,9.7:1 (Write-Heavy)
public,ll2_spacecraft_configurations,36,46,46,1.3:1 (Write-Heavy)
public,trajectory_source_documents,81,1,0.0866149369544132,1:935.2 (Read-Heavy)
public,launch_social_candidates,60,76,7.3625,1:8.1 (Read-Heavy)
supabase_migrations,schema_migrations,50,13,1.50340136054422,1:33.3 (Read-Heavy)
public,social_posts,48,2,0.164634146341463,1:291.6 (Read-Heavy)
public,faa_notam_details,43,1,0.149797570850202,1:287.1 (Read-Heavy)
public,system_settings,33,214,4.2943143812709,1:7.7 (Read-Heavy)
public,api_rate_counters,31,266,1.9745493107105,1:15.7 (Read-Heavy)
public,trajectory_product_lineage,29,4,0.251169188445667,1:115.5 (Read-Heavy)
public,launch_updates,22,3,0.340963855421687,1:64.5 (Read-Heavy)
public,ops_alerts,18,41,4.1,0.2:1 (Write-Heavy)
cron,job,16,66,2.64,1:6.1 (Read-Heavy)
public,trajectory_source_contracts,17,3,0.489089541008277,1:34.8 (Read-Heavy)
public,artemis_mission_snapshots,7,8,6,0.9:1 (Write-Heavy)
public,launch_trajectory_products,11,3,0.405405405405405,1:27.1 (Read-Heavy)
public,stripe_customers,7,2,1,1:7.0 (Read-Heavy)
public,artemis_ingest_checkpoints,7,1,0.25,1:28.0 (Read-Heavy)
public,subscriptions,5,2,1,1:1 (Balanced)
public,social_accounts,4,1,0.142857142857143,1:28.0 (Read-Heavy)
realtime,schema_migrations,3,1,0.0153846153846154,1:195.0 (Read-Heavy)
