name,index,index_size,index_scans
public.orbit_elements,orbit_elements_norad_epoch_idx,52 MB,0
public.ingestion_runs,ingestion_runs_job_success_ended_idx,13 MB,0
public.ingestion_runs,ingestion_runs_started_at_idx,8768 kB,0
public.satellites,satellites_intl_des_pattern_idx,3528 kB,0
public.satellite_group_memberships,satellite_group_memberships_group_last_seen_idx,2184 kB,0
public.satellite_group_memberships,satellite_group_memberships_norad_idx,1208 kB,0
public.trajectory_source_contracts,trajectory_source_contracts_launch_eval_idx,1208 kB,0
public.launches_public_cache,launches_public_cache_rocket_full_name_trgm_idx,968 kB,0
public.launches_public_cache,launches_public_cache_vehicle_trgm_idx,968 kB,0
public.trajectory_product_lineage,trajectory_product_lineage_launch_generated_idx,856 kB,0
public.navcen_bnm_hazard_areas,navcen_bnm_hazard_areas_valid_window_gist,656 kB,0
public.launches_public_cache,launches_public_cache_ll2_launch_uuid_idx,536 kB,0
public.navcen_bnm_hazard_areas,navcen_bnm_hazard_areas_fetched_at_idx,512 kB,0
public.trajectory_source_documents,trajectory_source_documents_fetched_at_idx,448 kB,0
public.launches,launches_launch_designator_idx,408 kB,0
public.navcen_bnm_hazard_areas,navcen_bnm_hazard_areas_message_id_idx,400 kB,0
public.navcen_bnm_messages,navcen_bnm_messages_valid_window_gist,360 kB,0
public.trajectory_source_contracts,trajectory_source_contracts_ingestion_run_id_idx,304 kB,0
public.ll2_catalog_public_cache,ll2_catalog_public_cache_name_idx,288 kB,0
public.launches,launches_last_updated_idx,288 kB,0
public.artemis_contract_budget_map,artemis_contract_budget_map_budget_line_idx,264 kB,0
public.trajectory_product_lineage,trajectory_product_lineage_ingestion_run_id_idx,232 kB,0
public.launches_public_cache,launches_public_cache_ll2_agency_id_idx,232 kB,0
public.artemis_opportunity_notices,artemis_opportunity_notices_solicitation_idx,208 kB,0
public.trajectory_source_contracts,trajectory_source_contracts_status_idx,200 kB,0
public.trajectory_product_lineage,trajectory_product_lineage_constraint_idx,168 kB,0
public.launches,launches_provider_idx,168 kB,0
public.blue_origin_source_documents,blue_origin_source_documents_fetched_at_idx,160 kB,0
public.launches,launches_pad_idx,160 kB,0
public.trajectory_product_lineage,trajectory_product_lineage_doc_idx,144 kB,0
public.launch_updates,launch_updates_launch_id_detected_at_idx,144 kB,0
public.navcen_bnm_hazard_areas,navcen_bnm_hazard_areas_matched_launch_id_idx,136 kB,0
public.celestrak_intdes_datasets,celestrak_intdes_datasets_due_idx,136 kB,0
public.launches,launches_pad_short_code_idx,136 kB,0
public.launches_public_cache,launches_public_cache_provider_idx,128 kB,0
public.celestrak_intdes_datasets,celestrak_intdes_datasets_success_idx,128 kB,0
public.artemis_source_documents,artemis_source_documents_fetched_at_idx,120 kB,0
public.navcen_bnm_hazard_areas,navcen_bnm_hazard_areas_navcen_guid_idx,120 kB,0
public.artemis_contracts,artemis_contracts_piid_idx,112 kB,0
public.artemis_content_items,artemis_content_items_source_idx,104 kB,0
public.navcen_bnm_messages,navcen_bnm_messages_navcen_guid_idx,96 kB,0
public.launches,launches_ll2_rocket_config_id_idx,88 kB,0
public.ll2_astronauts,ll2_astronauts_name_idx,88 kB,0
public.launches,launches_ll2_agency_id_idx,80 kB,0
public.launch_updates,launch_updates_launch_id_idx,80 kB,0
public.launches,launches_filter_provider_idx,80 kB,0
public.launches_public_cache,launches_public_cache_filter_provider_idx,80 kB,0
public.launches,launches_filter_status_idx,72 kB,0
public.launches_public_cache,launches_public_cache_filter_status_idx,72 kB,0
public.ll2_events,ll2_events_date_idx,72 kB,0
public.artemis_opportunity_notices,artemis_opportunity_notices_ptype_idx,72 kB,0
public.blue_origin_source_documents,blue_origin_source_documents_source_key_idx,72 kB,0
public.blue_origin_timeline_events,blue_origin_timeline_events_mission_time_idx,64 kB,0
public.artemis_contract_actions,artemis_contract_actions_source_document_idx,64 kB,0
