program_scope,tier,award_identity_key,usaspending_award_id,awarded_on,recipient,title,reason_codes,signals,canonical_recipient_match,story_linked,live_recipient_name,live_parent_recipient_name,existing_final_tier,existing_review_status
"spacex","excluded","award:1202sb25t7764","1202SB25T7764","2025-05-30","DRAGON FIGHTERS, INC.","VIPR I-BPA FOR WATER HANDLING FOR EAST ZONE REGIONS 1, 2, 4, AND 9","no_company_support_signal","","false","false","","","","unreviewed"
"spacex","excluded","award:1202sb25t7837","1202SB25T7837","2025-05-30","DRAGON ASSASSINS LLC","VIPR I-BPA FOR WATER HANDLING FOR EAST ZONE REGIONS 1, 2, 4, AND 9","no_company_support_signal","","false","false","","","","unreviewed"
"spacex","excluded","award:1204h125t7225","1204H125T7225","2025-05-29","DRAGON WILDFIRE LLC","VIPR I-BPA FOR WATER HANDLING FOR REGION 6 - PACIFIC NORTHWEST REGION","no_company_support_signal","","false","false","","","","unreviewed"
"spacex","excluded","award:140l1225p0009","140L1225P0009","2025-03-12","STARLINK TECHNOLOGIES LLC","PC- FIRE STATIONS STARLINK","no_company_support_signal","starlink","false","false","","","","unreviewed"
"spacex","excluded","award:6296399102","6296399102","2024-08-28","STARLINK TRANSPORTATION SERVICE INC.","AWARDTYPE: GUARANTEED/INSURED LOANS ACTIVITIES TO BE PERFORMED: TO PROVIDE GUARANTEED LOANS FROM LENDERS TO ELIGIBLE FOR PROFIT SMALL BUSINESSES WHICH ARE UNABLE TO OBTAIN FINANCING IN THE PRIVATE CREDIT MARKETPLACE BUT CAN DEMONSTRATE AN ABILITY TO REPAY LOANS IF GRANTED, IN A TIMELY MANNER. THE SBA GUARANTEES 7(A) PROGRAM LOANS THROUGH VARIOUS LOAN PROCESSING METHODS INCLUDING: (1) STANDARD 7(A) LOANS; (2) 7(A) SMALL LOANS; (3) SBAEXPRESS LOANS; (4) CAPLINE LOANS; (5) THE QUALIFIED EMPLOYEE TRUSTS (ESOP); (6) EXPORT EXPRESS; (7)EXPORT WORKING CAPITAL PROGRAM (EWCP); (8) INTERNATIONAL TRADE, AND (9) PILOT (TEMPORARY) PROGRAMS. DELIVERABLES: LOAN GUARANTEES EXPECTED OUTCOMES: TO PROVIDE GUARANTEED LOANS FROM LENDERS TO ELIGIBLE FOR PROFIT SMALL BUSINESSES AND, IN CERTAIN CIRCUMSTANCES, TO QUALIFIED EMPLOYEE TRUSTS (ESOPS). INTENDED BENEFICIARIES: SMALL BUSINESSES SUBRECIPIENT ACTIVITIES: NA","disallowed_award_family","","false","false","","","","unreviewed"
"spacex","excluded","award:19by7024p0091","19BY7024P0091","2024-01-12","DELTA BRIDGE, INC.","STARLINK FOR THE ACC","no_company_support_signal","starlink","false","false","","","","unreviewed"
"spacex","excluded","award:2323937","2323937","2023-10-01","UNIVERSITY OF CALIFORNIA IRVINE","COLLABORATIVE RESEARCH: DMREF: DATA-DRIVEN DISCOVERY OF THE PROCESSING GENOME FOR HETEROGENOUS SUPERALLOY MICROSTRUCTURES -THIS DESIGNING MATERIALS TO REVOLUTIONIZE AND ENGINEER OUR FUTURE (DMREF) PROJECT AIMS TO REVOLUTIONIZE THE CREATION OF NOVEL ENGINEERING ALLOYS BY FOCUSING ON THE RELATIONSHIP BETWEEN THE PROCESS OF PRODUCTION AND THE MATERIAL'S RESULTANT MICROSTRUCTURE - THE INTERNAL STRUCTURE INVISIBLE TO THE NAKED EYE. THIS RELATIONSHIP IS A CRUCIAL BUT LESS-EXPLORED SEGMENT OF THE MATERIAL SCIENCE LIFECYCLE, YET DIRECTLY CONNECTS PROCESSING TO PERFORMANCE. USING CUTTING-EDGE MACHINE LEARNING AND DATA SCIENCE, THE PROJECT TEAM WILL BUILD A PLATFORM, NAMED AS DRAGONS (DATA-DRIVEN RECURSIVE AI-POWERED GENERATOR OF OPTIMIZED NANOSTRUCTURED SUPERALLOYS), TO DISCOVER THESE CONNECTIONS, ENABLING MORE NUANCED CONTROL OVER MATERIAL PRODUCTION. DRAGONS WILL PRESCRIBE IDEAL PROCESSING CONDITIONS TO ACHIEVE A SPECIFIC MATERIAL MICROSTRUCTURE. THIS PROJECT CARRIES BROAD SIGNIFICANCE, WITH THE POTENTIAL TO DRIVE ADVANCEMENTS IN DIVERSE SECTORS THAT RELY ON NOVEL MATERIALS INCLUDING ELECTRONICS, HEALTHCARE, ENERGY, AND TRANSPORTATION. ADDITIONALLY, THE PROJECT'S EDUCATIONAL OUTREACH ACTIVITIES AIM TO INSPIRE THE NEXT GENERATION OF SCIENTISTS AND ENGINEERS BY PROVIDING A MORE DIVERSE, INCLUSIVE, AND SUSTAINABLE PATHWAY INTO THESE FIELDS. HENCE, THIS RESEARCH CARRIES POTENTIAL TO CATALYZE SCIENTIFIC ADVANCEMENT, FOSTER ECONOMIC GROWTH, AND ENHANCE EDUCATIONAL OUTCOMES. THIS DMREF PROJECT FOCUSES ON HARNESSING MACHINE LEARNING AND DATA SCIENCE TO ADVANCE UNDERSTANDING OF THE PROCESSING-MICROSTRUCTURE RELATIONSHIPS IN THE PRODUCTION OF NOVEL MATERIALS, A KEY, YET UNDEREXPLORED FACET OF THE MATERIALS GENOME INITIATIVE (MGI). THE RESEARCH TEAM WILL DEVELOP A DATA-DRIVEN PLATFORM, NAMED AS DATA-DRIVEN RECURSIVE AI-POWERED GENERATOR OF OPTIMIZED NANOSTRUCTURED SUPERALLOYS (DRAGONS), TO DEMYSTIFY THE COMPLEX RELATIONSHIPS INHERENT IN THE CREATION OF MULTI-PHASE, HETEROGENEOUS NANOSTRUCTURED MATERIALS (HNMS). DRAGONS WILL UTILIZE PREDICTIVE MODELS TO INTERPRET MICROSTRUCTURE ATTRIBUTES BASED ON GIVEN PROCESSING CONDITIONS AND, IN A RECIPROCAL MANNER, PROVIDE PROCESSING PARAMETERS REQUIRED TO GENERATE A PREDEFINED MICROSTRUCTURE. CAPITALIZING ON EXPERTISE IN MAGNETRON SPUTTERING AND HEAT TREATMENT (MS+HT), THE RESEARCH TEAM AIMS TO ENGINEER INTRICATE HETEROGENEOUS DESIGNS IN NI-BASED SUPERALLOYS. AN ITERATIVE RESEARCH FRAMEWORK ENCOMPASSES SYNTHESIS AND MICROSTRUCTURAL DESIGN, MICROSTRUCTURE CHARACTERIZATION, ATOMISTIC SIMULATION, AND MESOSCALE MODELING, AND EACH CYCLE WILL REFINE DRAGONS, FOSTERING STRONGER LINKS BETWEEN PROCESSING DESCRIPTORS AND MICROSTRUCTURE FEATURES. THE BROADER IMPACTS OF THIS WORK SPAN THE POTENTIAL TO RESHAPE ENGINEERED ALLOY DEVELOPMENT AND TO FOSTER COLLABORATIONS WITH NIST SCIENTISTS. FURTHERMORE, EDUCATIONAL PROGRAMS TARGETED AT DEVELOPING A DIVERSE, SKILLED WORKFORCE IN MATERIALS ENGINEERING UNDERSCORE THE PROJECT'S COMMITMENT TO SOCIETY. THIS AWARD REFLECTS NSF'S STATUTORY MISSION AND HAS BEEN DEEMED WORTHY OF SUPPORT THROUGH EVALUATION USING THE FOUNDATION'S INTELLECTUAL MERIT AND BROADER IMPACTS REVIEW CRITERIA.- SUBAWARDS ARE NOT PLANNED FOR THIS AWARD.","no_company_support_signal","launch_context|support_context","false","false","","","","unreviewed"
"spacex","excluded","award:h79sm088417","H79SM088417","2023-09-30","SOUTHERN INDIAN HEALTH COUNCIL","SIHC'S CIRCLES OF CARE - THE PROPOSED SOUTHERN INDIAN HEALTH COUNCIL, INC. YOUTH BEHAVIORAL HEALTH CIRCLE OF CARE WILL THOUGHTFULLY PLAN, DEVELOP, AND IMPLEMENT A FORMALIZED INFRASTRUCTURE FOR BEHAVIORAL HEALTH SERVICES AND PROGRAMMING. THE CIRCLE OF CARE APPROACH WILL BUILD ON CURRENT EFFORTS AND THE STRENGTHS OF THE COMMUNITY TO ENABLE PROVISION OF ACCESSIBLE HIGH-QUALITY COMMUNITY-BASED SERVICES AND APPROACHES THAT ARE INDIVIDUALIZED, CULTURALLY-APPROPRIATE AND REQUIRE INTERAGENCY COLLABORATION. ANTICIPATED OUTCOMES INCLUDE THE CREATION OF A CIRCLES OF CARE ADVISORY BOARD, COMMUNITY INVOLVEMENT, NETWORK DEVELOPMENT, INTERAGENCY COMMITMENTS FOR COORDINATION OF SERVICES, POLICY RECOMMENDATIONS, AND ENHANCED BEHAVIORAL HEALTH SERVICE PROVISION. ALL YOUTH BETWEEN AGES 0-25 YEARS AND THEIR FAMILIES, WHO RECEIVE SERVICES OR PROGRAMMING THROUGH THE SOUTHERN INDIAN HEALTH COUNCIL BEHAVIORAL HEALTH, WILL HAVE THE POTENTIAL TO BE IMPACTED BY THE IMPLEMENTATION OF A COLLABORATIVELY DEVELOPED SYSTEMS OF CARE APPROACH TO ADDRESSING BEHAVIORAL HEALTH NEEDS. FURTHER USE OF A SYSTEMS OF CARE SUB-STRATEGY WILL RESULT IN THE DEVELOPMENT OF AN INNOVATIVE INDIGENIZED THERAPEUTIC STRATEGY. A KUMEYAAY DUNGEONS & DRAGONS STORYLINE AND GAMEPLAY WILL BE DESIGNED FOR YOUTH BETWEEN AGES 12-25 AND WILL INTEGRATE TEACHINGS ON TRADITIONAL NARRATIVES, BELIEFS, PRACTICES; EMPHASIZE ACTIVE SKILLS-BUILDING; FACILITATE COMMUNICATION AND INTERACTION AMONG ELDERS, FAMILIES, AND YOUTH; AND KUMEYAAY CULTURAL KNOWLEDGE, LANGUAGE, MEDICINE. IMPLEMENTATION OF THE CULTURALLY TAILORED KUMEYAAY DUNGEONS & DRAGONS THERAPEUTIC STRATEGY IS ANTICIPATED TO RESULT IN POSITIVE IMPACTS ON MEASURED BIOPSYCHOSOCIAL HEALTH FACTORS, AND PROVIDE EVIDENCE OF INTERAGENCY COLLABORATION. ALL PROPOSED PROJECT ACTIVITIES WILL FACILITATE THE SUSTAINABILITY OF THE CIRCLES OF CARE APPROACH TO ADDRESSING YOUTH BEHAVIORAL HEALTH NEEDS, DECREASING HEALTH DISPARITIES EXPERIENCED BY NATIVE YOUTH, AND STREAMLINING A COORDINATED SYSTEM OF CARE THE SOUTHERN INDIAN HEALTH COUNCIL COMMUNITY.","no_company_support_signal","service_context|support_context","false","false","","","","unreviewed"
"spacex","excluded","award:19aqmm23f3257","19AQMM23F3257","2023-09-29","SOFTWARE INFORMATION RESOURCE CORP.","STARLINK SYSTEMS","no_company_support_signal","starlink","false","false","","","","unreviewed"
"spacex","excluded","award:1202sb23t7640","1202SB23T7640","2023-06-09","DRAGONHEAD LLC","VIPR I-BPA FOR FALLER FOR EAST ZONE (REGIONS 1, 2, AND 4)","no_company_support_signal","","false","false","","","","unreviewed"
